Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
RU_13_RT_VN96141_BL_ADL_M__SRR17643083__R1__6b2aca545aeb9f55d403ae24aeaa20cf_val_1	36.2	0.7	0.5	534800678.0	14547026.0	69.0933310686986
RU_13_RT_VN96144_BL_ADL_M__SRR17643081__R1__1438494c90c979ff36d426d55571dcd2_val_1	37.8	0.7	0.5	651205709.0	17515680.0	69.16440714682447
RU_13_RT_VN96145_BL_ADL_F__SRR17643080__R1__77df01f3475c8c4bbe15ef21464c5983_val_1	38.1	0.7	0.5	500884198.0	13227897.0	68.03987966291297
RU_13_RT_VN96151_BL_ADL_M__SRR17643078__R1__7e217d48a5868066b5dbbaa73762c0fd_val_1	36.3	0.6	0.5	463655890.0	12162019.0	69.4824417424172
RU_13_RT_VN96152_BL_ADL_M__SRR17643076__R1__81b3f3e338e23aeab46c7ab4618cbd8a_val_1	36.1	0.7	0.5	515422360.0	13704756.0	70.25748172196387
RU_13_RT_VN96153_BL_ADL_F__SRR17643073__R1__41e6ddbfc7d8f5e8cdc735bcf96e254b_val_1	36.9	0.7	0.5	543474822.0	14389062.0	68.84773343175836
RU_13_RT_VN96154_BL_ADL_M__SRR17643072__R1__0937ef0b53fd37c438901a908f039d8f_val_1	37.6	0.7	0.5	587441459.0	15248075.0	71.43275085570842
RU_13_RT_VN96158_BL_ADL_M__SRR17643071__R1__793342708ec788fde5102c21404151d3_val_1	37.9	0.7	0.5	539809928.0	14192010.0	68.57046859658837
RU_13_RT_VN96159_BL_ADL_M__SRR17643191__R1__8cd55e460a79c16630b3215634494d94_val_1	37.4	0.7	0.5	927999845.0	24640389.0	70.44260413505282
RU_13_RT_VN96161_BL_ADL_M__SRR17643190__R1__6fb43a342be416f2253c775c5335e3c6_val_1	35.4	0.6	0.5	82201038.0	2199244.0	69.40879358240298
RU_13_RT_VN96163_BL_ADL_M__SRR17643188__R1__3f605f44691593bb9db351a56963a957_val_1	35.5	0.6	0.5	476568638.0	12735245.0	68.7014325011566
RU_13_RT_VN96165_BL_ADL_F__SRR17643185__R1__6d798419a196b0100a53cc0746e4e00f_val_1	38.5	0.7	0.5	556101455.0	14962076.0	69.5533015127743
RU_13_RT_VN96166_BL_ADL_M__SRR17643184__R1__d11f00dbb79b789181bac6d0f9773bee_val_1	38.2	0.7	0.5	527993719.0	14779306.0	67.04922814911396
RU_13_RT_VN96171_BL_ADL_F__SRR17643183__R1__74947217ff527485376f8407152db93f_val_1	36.9	0.6	0.5	539133359.0	14480251.0	67.23245105580978
RU_13_RT_VN96180_BL_ADL_M__SRR17643181__R1__551c520a382eecd18341b812550a119e_val_1	36.2	0.7	0.5	554003387.0	14922146.0	70.13455673274112
