Sample	Unique Reads	Duplicate Reads
CN_16_RG_2072_BL_ADL_M__SRR17643100__R1__22e9f3bacfc0f453658f23f0b2c2d824	6303118.0	18750843.0
CN_16_RG_2072_BL_ADL_M__SRR17643100__R2__1bc01611deebc22adfe8e573e00d9b3c	5580399.0	19473562.0
CN_16_RG_2072_BL_ADL_M__SRR17643101__R1__131ecfc11dae172e30354139d73fc55e	1699015.0	2039938.0
CN_16_RG_2072_BL_ADL_M__SRR17643101__R2__aca4791e8f0e709fecf04f27efa04267	1456182.0	2282771.0
CN_16_RG_2074_BL_ADL_M__SRR17643097__R1__56db441924427b03e45a3f4f3ecc322e	1940236.0	2444146.0
CN_16_RG_2074_BL_ADL_M__SRR17643097__R2__bf2d1c2f43803df3d8f956be4b06b1ae	1657310.0	2727072.0
CN_16_RG_2074_BL_ADL_M__SRR17643163__R1__c7d82dcdc159b4bf3d3db18ca58dd41d	5931443.0	16878552.0
CN_16_RG_2074_BL_ADL_M__SRR17643163__R2__7ca3a5fdd2f04f654e9fa89507d14a2d	5307649.0	17502346.0
CN_17_RG_1705_BL_ADL_M__SRR17643019__R1__7c8a9557482918777b20c944a452286d	4640008.0	11742186.0
CN_17_RG_1705_BL_ADL_M__SRR17643019__R2__96189599530e6c3d245613e814e659b2	4136288.0	12245906.0
CN_17_RG_1705_BL_ADL_M__SRR17643020__R1__c4c3220798e15344d6fe5cad0bb0b29e	1407466.0	1450923.0
CN_17_RG_1705_BL_ADL_M__SRR17643020__R2__6a96d1baa7a817c4ba99cb2e1d7afdfe	1234672.0	1623717.0
CN_17_RG_2077_BL_ADL_M__SRR17643161__R1__ac44305fd431da10568b18f10f42411a	6183670.0	18266024.0
CN_17_RG_2077_BL_ADL_M__SRR17643161__R2__d6558bdabeae2450db8ec7eb9bbeb84c	5494242.0	18955452.0
CN_17_RG_2077_BL_ADL_M__SRR17643162__R1__ec4b689cbe3964172767da5940443c34	1670016.0	2034089.0
CN_17_RG_2077_BL_ADL_M__SRR17643162__R2__7dd3d73234d1a85a8dd91310e7b985c5	1457676.0	2246429.0
CN_17_RG_2079_BL_ADL_F__SRR17643160__R1__8709fd6d07af18d59c4849d38f090ec9	5620832.0	16036717.0
CN_17_RG_2079_BL_ADL_F__SRR17643160__R2__31876e889a28386d4ec5f6082f54fa4c	4830867.0	16826682.0
CN_17_RG_2081_BL_ADL_F__SRR17643158__R1__be1f50da4fe841267816476a49666641	1341505.0	1325058.0
CN_17_RG_2081_BL_ADL_F__SRR17643158__R2__b7f527a62c4967a6856d9317c80e25b3	1165616.0	1500947.0
CN_17_RG_2081_BL_ADL_F__SRR17643159__R1__8cdbffccf62924da751171aa968299c0	5390303.0	15148883.0
CN_17_RG_2081_BL_ADL_F__SRR17643159__R2__6dd52688ee84c368902ca431f0dae4d2	4818282.0	15720904.0
CN_17_RG_2082_BL_ADL_F__SRR17643157__R1__32cec8f00e76b1931b6c2b15dd533ba9	6882225.0	18907143.0
CN_17_RG_2082_BL_ADL_F__SRR17643157__R2__88efd2820eeb1385017740592f7c5728	5607281.0	20182087.0
