Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CN_16_RG_2072_BL_ADL_M__SRR17643100__R1__22e9f3bacfc0f453658f23f0b2c2d824	0.1903132203327051	0.34652804001730503
CN_16_RG_2072_BL_ADL_M__SRR17643100__R2__1bc01611deebc22adfe8e573e00d9b3c	0.16836459512330207	0.2874276047607802
CN_16_RG_2072_BL_ADL_M__SRR17643101__R1__131ecfc11dae172e30354139d73fc55e	0.19893269586432352	0.343358154007285
CN_16_RG_2072_BL_ADL_M__SRR17643101__R2__aca4791e8f0e709fecf04f27efa04267	0.17095694971292766	0.28861020718901786
CN_16_RG_2074_BL_ADL_M__SRR17643097__R1__56db441924427b03e45a3f4f3ecc322e	0.1264944523538323	0.0
CN_16_RG_2074_BL_ADL_M__SRR17643097__R2__bf2d1c2f43803df3d8f956be4b06b1ae	0.11436047315220252	0.0
CN_16_RG_2074_BL_ADL_M__SRR17643163__R1__c7d82dcdc159b4bf3d3db18ca58dd41d	0.12058748807266288	0.0
CN_16_RG_2074_BL_ADL_M__SRR17643163__R2__7ca3a5fdd2f04f654e9fa89507d14a2d	0.11114425934771138	0.0
CN_17_RG_1705_BL_ADL_M__SRR17643019__R1__7c8a9557482918777b20c944a452286d	0.15290992158925723	0.12807808282578023
CN_17_RG_1705_BL_ADL_M__SRR17643019__R2__96189599530e6c3d245613e814e659b2	0.1810990640203626	0.0
CN_17_RG_1705_BL_ADL_M__SRR17643020__R1__c4c3220798e15344d6fe5cad0bb0b29e	0.15473751123447507	0.13336183423599798
CN_17_RG_1705_BL_ADL_M__SRR17643020__R2__6a96d1baa7a817c4ba99cb2e1d7afdfe	0.17905190651097525	0.0
CN_17_RG_2077_BL_ADL_M__SRR17643161__R1__ac44305fd431da10568b18f10f42411a	0.12770711977008792	0.10984186550555602
CN_17_RG_2077_BL_ADL_M__SRR17643161__R2__d6558bdabeae2450db8ec7eb9bbeb84c	0.1628323037498956	0.0
CN_17_RG_2077_BL_ADL_M__SRR17643162__R1__ec4b689cbe3964172767da5940443c34	0.12499645663392371	0.11047203035551097
CN_17_RG_2077_BL_ADL_M__SRR17643162__R2__7dd3d73234d1a85a8dd91310e7b985c5	0.16427720056531875	0.0
CN_17_RG_2079_BL_ADL_F__SRR17643160__R1__8709fd6d07af18d59c4849d38f090ec9	0.13138144117785444	0.10790694736509657
CN_17_RG_2079_BL_ADL_F__SRR17643160__R2__31876e889a28386d4ec5f6082f54fa4c	0.11487449480086598	0.21671427362348344
CN_17_RG_2081_BL_ADL_F__SRR17643158__R1__be1f50da4fe841267816476a49666641	0.1398804378520215	0.21135821655066842
CN_17_RG_2081_BL_ADL_F__SRR17643158__R2__b7f527a62c4967a6856d9317c80e25b3	0.18424466251125513	0.0
CN_17_RG_2081_BL_ADL_F__SRR17643159__R1__8cdbffccf62924da751171aa968299c0	0.14415858544734927	0.20594292295712208
CN_17_RG_2081_BL_ADL_F__SRR17643159__R2__6dd52688ee84c368902ca431f0dae4d2	0.18319129102779438	0.0
CN_17_RG_2082_BL_ADL_F__SRR17643157__R1__32cec8f00e76b1931b6c2b15dd533ba9	0.1821370729209029	0.3735337756241255
CN_17_RG_2082_BL_ADL_F__SRR17643157__R2__88efd2820eeb1385017740592f7c5728	0.21530578027348324	0.6469991819884846
CN_17_RG_2086_BL_ADL_F__SRR17643154__R1__dfc65a86a855da304bcaec1056be33e8	0.23467075880739188	0.3581087138209418
CN_17_RG_2086_BL_ADL_F__SRR17643154__R2__844d2d55f5dc380fa8428ca22b92b97d	0.2708073607307055	0.35137694930240765
CN_17_RG_2086_BL_ADL_F__SRR17643156__R1__fbbdba2e20a5e336f7be9473daced88a	0.22803372000488314	0.26671393160032936
CN_17_RG_2086_BL_ADL_F__SRR17643156__R2__48b96a2ede754e26a5c724b2e1d6a0ed	0.25584430251907736	0.449996115658076
CN_17_RG_2087_BL_ADL_M__SRR17643272__R1__6ccaa1e00e6095a9ba2f8eed78c0b38a	0.12413164577171498	0.5475939607596466
CN_17_RG_2087_BL_ADL_M__SRR17643272__R2__e37ddf4f5dd46998d77e6e1fc26ad8b8	0.16015007555887514	0.5684784412364824
