Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CN_16_RG_2019_BL_ADL_F__SRR17643052__R1__690ea0720f9157d35b7351495080d4b4	CN_16_RG_2019_BL_ADL_F__SRR17643052__R1__690ea0720f9157d35b7351495080d4b4.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19886517.0	0.0	150.0	36.0	26.69823269012811	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2019_BL_ADL_F__SRR17643052__R2__643a37b91ec3f54a4cc50e19ec91ad03	CN_16_RG_2019_BL_ADL_F__SRR17643052__R2__643a37b91ec3f54a4cc50e19ec91ad03.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19886517.0	0.0	150.0	37.0	23.68308065446638	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2020_BL_ADL_M__SRR17643049__R1__c45d188f4d3f43b031a1b13fd63f89b5	CN_16_RG_2020_BL_ADL_M__SRR17643049__R1__c45d188f4d3f43b031a1b13fd63f89b5.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3417411.0	0.0	150.0	36.0	46.20057549878594	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2020_BL_ADL_M__SRR17643049__R2__670dac95f5294eec9621e4f345cdf22d	CN_16_RG_2020_BL_ADL_M__SRR17643049__R2__670dac95f5294eec9621e4f345cdf22d.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3417411.0	0.0	150.0	38.0	38.63911972832136	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2020_BL_ADL_M__SRR17643050__R1__4136cc7c1b11bd36bc5ac494834150d7	CN_16_RG_2020_BL_ADL_M__SRR17643050__R1__4136cc7c1b11bd36bc5ac494834150d7.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18327385.0	0.0	150.0	37.0	26.220240898724644	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2020_BL_ADL_M__SRR17643050__R2__3a2189919cc06171bd15a88db98c7188	CN_16_RG_2020_BL_ADL_M__SRR17643050__R2__3a2189919cc06171bd15a88db98c7188.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18327385.0	0.0	150.0	38.0	22.990941696042672	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2021_BL_ADL_M__SRR17643046__R1__745d2d795c54bbefa255e4abde19ee9b	CN_16_RG_2021_BL_ADL_M__SRR17643046__R1__745d2d795c54bbefa255e4abde19ee9b.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24386038.0	0.0	150.0	36.0	24.6129469242857	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2021_BL_ADL_M__SRR17643046__R2__4a50f0fbf0b02b5415acee9141195828	CN_16_RG_2021_BL_ADL_M__SRR17643046__R2__4a50f0fbf0b02b5415acee9141195828.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24386038.0	0.0	150.0	37.0	21.870681052218057	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2021_BL_ADL_M__SRR17643048__R1__5c32a50988902bc4a8b6ef9211b30226	CN_16_RG_2021_BL_ADL_M__SRR17643048__R1__5c32a50988902bc4a8b6ef9211b30226.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3723702.0	0.0	150.0	36.0	44.5828635591427	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2021_BL_ADL_M__SRR17643048__R2__e0b13fac308ceb73f5089114384be7c0	CN_16_RG_2021_BL_ADL_M__SRR17643048__R2__e0b13fac308ceb73f5089114384be7c0.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3723702.0	0.0	150.0	37.0	38.48554089436968	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
