Sample	Unique Reads	Duplicate Reads
CN_17_RG_2099_BL_ADL_M__SRR17643265__R2__a54571ddb817143da4bed366b759fcb0_val_2	5079770.0	18349677.0
CN_17_RG_2102_BL_ADL_F__SRR17643254__R1__b84c31d21811d7ddd65599285b329bb4_val_1	6561906.0	16618831.0
CN_17_RG_2102_BL_ADL_F__SRR17643254__R2__d0df538262c018ab672c3a4fcc624eaa_val_2	5139804.0	18040933.0
CN_17_RG_2105_BL_ADL_F__SRR17643252__R1__8fb6ac9cbbff3219091f38c53fb10f3f_val_1	5001439.0	12318095.0
CN_17_RG_2105_BL_ADL_F__SRR17643252__R2__d3ebfeaee081aa1fb0d0cd1846b3569c_val_2	4378604.0	12940930.0
CN_17_RG_2105_BL_ADL_F__SRR17643253__R1__165e5010cdb731c05d2d214fe924f3a9_val_1	1758404.0	1993657.0
CN_17_RG_2105_BL_ADL_F__SRR17643253__R2__5a90234fd1fa1dbef6b8a7635c0095d7_val_2	1499863.0	2252198.0
CN_17_RG_2107_BL_ADL_F__SRR17643249__R1__ffde05bfb0e4a29efeb937fbb18884e0_val_1	5874820.0	11814331.0
CN_17_RG_2107_BL_ADL_F__SRR17643249__R2__b630f7d8c3b8c5b4ae5a8626a2cbb225_val_2	4485113.0	13204038.0
CN_17_RG_2107_BL_ADL_F__SRR17643250__R1__3227d3a1cc4b8b747e2dc77ef1125665_val_1	1658550.0	1813722.0
CN_17_RG_2107_BL_ADL_F__SRR17643250__R2__c1e7c0f923d7a0e97417c7b9277839c7_val_2	1430687.0	2041585.0
CN_17_RG_2111_BL_ADL_F__SRR17643248__R1__f0c3d70c2264678413504f47f83fea86_val_1	7087517.0	17162812.0
CN_17_RG_2111_BL_ADL_F__SRR17643248__R2__fc41b224b78bfacf2c10773640fee63b_val_2	5775899.0	18474430.0
CN_17_RG_2113_BL_ADL_M__SRR17643155__R1__3efbeac594866d18d29ae820c9513dca_val_1	6963463.0	17525882.0
CN_17_RG_2113_BL_ADL_M__SRR17643155__R2__15e56a40065da004de7a906e2386680c_val_2	5524795.0	18964550.0
CN_17_RG_2114_BL_ADL_M__SRR17643152__R1__e77b72e76daacc69d0226cfb8e31d7d7_val_1	4867657.0	11896422.0
CN_17_RG_2114_BL_ADL_M__SRR17643152__R2__9dfac52f96e27cefc65a639d562e0acd_val_2	4284111.0	12479968.0
CN_17_RG_2114_BL_ADL_M__SRR17643153__R1__31f3ed127c6e58ce6e1d8cfdf7efeba4_val_1	1425315.0	1474818.0
CN_17_RG_2114_BL_ADL_M__SRR17643153__R2__7c694352745ea9713dc9cb3300812fa2_val_2	1241401.0	1658732.0
